"Timestamp","Warst du im Theo-Vorkurs?","Falls nein: Warum nicht?","Falls nein: Hättest du ihn im Nachhinein gerne besucht?","Die Vorlesung ist für mich verständlich.","Der Vorkurs hat mir geholfen, den Stoff der Vorlesung besser zu verstehen.","Ich bearbeite die Übungsblätter.","Übungsblätter: Ich versuche ca. X% der Aufgaben sinnvoll zu bearbeiten.","Diese Themen aus dem Vorkurs hätte ich gerne ausführlicher behandelt gehabt.","Diese Themen aus der Vorlesung bereiten mir aktuell Schwierigkeiten:","Diese Themen aus der Vorlesung hätte ich mir noch im Vorkurs gewünscht:","Weitere Anmerkungen:"
"2018/11/08 4:37:30 PM MEZ","Ja","","","5","3","Nein, keine Lust","0 bis 25","Beweistechniken","","",""
"2018/11/08 4:38:05 PM MEZ","Nein","Keine Zeit","Ja oder eher ja","3","","Teils, teils","50 bis 75","","","",""
"2018/11/08 4:38:08 PM MEZ","Einzelne Tage","","","2","1","Teils, teils","50 bis 75","Beweistechniken","-","-",""
"2018/11/08 4:38:08 PM MEZ","Nein","Urlaub","Ja oder eher ja","5","","Teils, teils","50 bis 75","","Alle ","",""
"2018/11/08 4:38:33 PM MEZ","Ja","","","2","1","Ja, aber ich gebe die Blätter nicht ab","75 bis 100","Beweistechniken","","",""
"2018/11/08 4:38:44 PM MEZ","Ja","","Ja oder eher ja","3","4","Nein, keine Zeit","75 bis 100","Beweistechniken;Induktion;Reguläre Ausdrücke","Alles","Alles",""
"2018/11/08 4:38:45 PM MEZ","Ja","","","1","1","Ja, gewissenhaft","75 bis 100","","","",""
"2018/11/08 4:38:57 PM MEZ","Nein","Gearbeitet ","Ja oder eher ja","4","","Teils, teils","25 bis 50","","Beweisen","",""
"2018/11/08 4:39:00 PM MEZ","Nein","Keine zeit","Nein oder eher nein","2","","Teils, teils","75 bis 100","","","",""
"2018/11/08 4:39:04 PM MEZ","Ja","","","4","1","Ja, gewissenhaft","75 bis 100","","Hertrampf","Hertrampf Memes",""
"2018/11/08 4:39:09 PM MEZ","Ja","","","5","4","Teils, teils","25 bis 50","Grammatiken;Automaten","","",""
"2018/11/08 4:39:11 PM MEZ","Einzelne Tage","","","2","2","Nein, keine Lust","0 bis 25","Mengen;Beweistechniken;Mengenbeweise","","","Das ist das Haus vom Nikolaus."
"2018/11/08 4:39:21 PM MEZ","Ja","","","3","1","Teils, teils","75 bis 100","Beweistechniken;Mengenbeweise;Induktion","","",""
"2018/11/08 4:39:21 PM MEZ","Ja","","","1","1","Teils, teils","75 bis 100","","","",""
"2018/11/08 4:39:23 PM MEZ","Ja","","","4","2","Ja, aber ich gebe die Blätter nicht ab","25 bis 50","Beweistechniken;Mengenbeweise","","",""
